18,,,,,,
Title, Artist, Duration (ms), Danceability, Energy, Tempo, Valence
Canned Heat,Jamiroquai,331760,0.7,0.865,128.04,0.78
Eye of the Tiger,Survivor,245640,0.817,0.599,108.873,0.548
The Veldt,deadmau5,170059,0.736,0.759,128.039,0.485
Golden,Harry Styles,208907,0.448,0.838,139.863,0.254
Thunderstruck,AC/DC,292880,0.502,0.89,133.52,0.259
Nonsense,Madeon,225787,0.543,0.781,87.009,0.695
One More Time,Daft Punk,320357,0.613,0.697,122.746,0.476
Around the World,Daft Punk,429533,0.956,0.795,121.294,0.841
Lose Yourself to Dance,Daft Punk,353893,0.832,0.659,100.163,0.674
10%,KAYTRANADA,186680,0.794,0.757,107.99,0.615
Easy,Groove Armada,352000,0.657,0.86,124.15,0.59
Halcyon and On and On,Orbital,567107,0.577,0.729,126.988,0.177
Enjoy the Silence,Depeche Mode,257333,0.641,0.812,112.777,0.822
Rasputin,Boney M.,351573,0.639,0.893,126.143,0.966
Who's Theme,Nujabes,297535,0.603,0.485,169.734,0.357
Burn the Witch,Radiohead,220609,0.541,0.847,148.937,0.62
Hold Me Now,Thompson Twins,285440,0.785,0.517,108.108,0.859
Crystallize,Lindsey Stirling,258800,0.44,0.623,140.006,0.056
